,Name,Base Rate,Consistency,Statistical Parity Difference,Disparate Impact,Smoothed Empirical Differential Fairness
0,Dataset (Original),0.5428397812436703,0.579339679967588,-0.0899960124528536,0.8505709773431331,0.20383303215262671
0,OriginalData,0.5428397812436703,0.579339679967588,-0.0899960124528536,0.8505709773431331,0.20383303215262671
0,MetricOptGenerator,0.4663749797439637,0.5851239669421477,-4.1937073421371984e-05,0.9999100840713931,0.00010810260977500707
0,Dataset (Original),0.5432448855580312,0.5913712781041076,-0.09667136025167755,0.8405901388328172,0.2194884026702667
0,OriginalData,0.5432448855580312,0.5913712781041076,-0.09667136025167755,0.8405901388328172,0.2194884026702667
0,MetricOptGenerator,0.4731810079403662,0.5896289094150046,-7.617245819541152e-05,0.9998390375933891,0.00017409538652224388
0,Dataset (Original),0.5450678549726554,0.5982985618796794,-0.090072781009495,0.8509352705287634,0.20491602233719164
0,OriginalData,0.5450678549726554,0.5982985618796794,-0.090072781009495,0.8509352705287634,0.20491602233719164
0,MetricOptGenerator,0.4666990763247448,0.5977637335926073,4.8414427499365864e-05,1.0001037452017842,8.600321774199227e-05
0,Dataset (Original),0.540611707514685,0.5700222807372809,-0.0863111643873572,0.8555207565408858,0.19409890386606876
0,OriginalData,0.540611707514685,0.5700222807372809,-0.0863111643873572,0.8555207565408858,0.19409890386606876
0,MetricOptGenerator,0.4709123318748987,0.5872305947172208,9.304788165359623e-05,1.0001976169071005,0.00018189964587311813
0,Dataset (Original),0.5483086894875431,0.5997569374113811,-0.09787748118730633,0.8403403428827549,0.22532649986141517
0,OriginalData,0.5483086894875431,0.5997569374113811,-0.09787748118730633,0.8403403428827549,0.22532649986141517
0,MetricOptGenerator,0.46653702803435426,0.5974720466699079,9.889127935436282e-05,1.0002119988286684,0.00019416446324327374
0,Dataset (Original),0.5410168118290459,0.5815272432651375,-0.10910718571426459,0.8221638784027341,0.24849237035314375
0,OriginalData,0.5410168118290459,0.5815272432651375,-0.10910718571426459,0.8221638784027341,0.24849237035314375
0,MetricOptGenerator,0.47010209042294604,0.5807486631016017,1.2155296062466014e-05,1.0000258571650205,9.752284995223626e-06
0,Dataset (Original),0.5436499898723921,0.5991492809398352,-0.10072773699329718,0.8348613291470434,0.22955967938695954
0,OriginalData,0.5436499898723921,0.5991492809398352,-0.10072773699329718,0.8348613291470434,0.22955967938695954
0,MetricOptGenerator,0.47188462161724193,0.5883001134338011,-7.920929938487475e-05,0.9998321614742093,0.0001823930537746543
0,Dataset (Original),0.5507393153737087,0.5897508608466611,-0.10249308545443547,0.8343044988297122,0.23781883832862238
0,OriginalData,0.5507393153737087,0.5897508608466611,-0.10249308545443547,0.8343044988297122,0.23781883832862238
0,MetricOptGenerator,0.45859666180521796,0.5849619186517541,5.7565754334520935e-05,1.0001255364418054,0.00010306156877504247
0,Dataset (Original),0.5464857200729187,0.5867935993518294,-0.10551566876846352,0.8286636165487137,0.2425121164568962
0,OriginalData,0.5464857200729187,0.5867935993518294,-0.10551566876846352,0.8286636165487137,0.2425121164568962
0,MetricOptGenerator,0.472208718198023,0.579095770539622,-0.00012118787650600149,0.9997434032206634,0.0002705047569251384
0,Dataset (Original),0.545270407129836,0.5910877050840541,-0.09435247960279902,0.8445691036494953,0.21504520880178746
0,OriginalData,0.545270407129836,0.5910877050840541,-0.09435247960279902,0.8445691036494953,0.21504520880178746
0,MetricOptGenerator,0.4657267865824016,0.5848970993356007,0.000139371507605901,1.0002993155246505,0.00028146164164088994
