,Name,Base Rate,Consistency,Statistical Parity Difference,Disparate Impact,Smoothed Empirical Differential Fairness
0,Dataset (Original),0.70375,0.6795000000000005,-0.16926406926406934,0.8046953046953046,0.7354035112544948
0,OriginalData,0.70375,0.6795000000000005,-0.16926406926406934,0.8046953046953046,0.7354035112544948
0,DisparateImpactRemover,0.70375,0.7125000000000006,-0.16926406926406934,0.8046953046953046,0.7354035112544948
0,LFR,1.0,1.0,0.0,1.0,3.2137011690781874
0,MetricOptGenerator,0.75,0.7112000000000016,0.0,1.0,0.025632514208629553
0,Reweighing,0.70375,0.6795000000000005,0.0,1.0,0.021051755637742087
0,Dataset (Original),0.7,0.6867500000000009,-0.17785980955576997,0.7957905890285604,0.7812161991077105
0,OriginalData,0.7,0.6867500000000009,-0.17785980955576997,0.7957905890285604,0.7812161991077105
0,DisparateImpactRemover,0.7,0.6880000000000008,-0.17785980955576997,0.7957905890285604,0.7812161991077105
0,LFR,1.0,1.0,0.0,1.0,3.1806546120479604
0,MetricOptGenerator,0.75,0.7162000000000014,0.0,1.0,0.025632514208629553
0,Reweighing,0.7,0.6867500000000009,-1.1102230246251565e-16,0.9999999999999999,0.019753860926306155
0,Dataset (Original),0.69875,0.6795000000000009,-0.2090909090909091,0.7676767676767676,1.0079051727548447
0,OriginalData,0.69875,0.6795000000000009,-0.2090909090909091,0.7676767676767676,1.0079051727548447
0,DisparateImpactRemover,0.69875,0.683750000000001,-0.2090909090909091,0.7676767676767676,1.0079051727548447
0,LFR,1.0,1.0,0.0,1.0,3.2137011690781874
0,MetricOptGenerator,0.756,0.7162000000000014,-0.11864576051133524,0.8637770897832817,0.5670825240718398
0,Reweighing,0.69875,0.6795000000000009,0.0,1.0,0.02020364399261143
0,Dataset (Original),0.695,0.6710000000000009,-0.2050333086602517,0.7703626943005181,0.9511232859963112
0,OriginalData,0.695,0.6710000000000009,-0.2050333086602517,0.7703626943005181,0.9511232859963112
0,DisparateImpactRemover,0.695,0.6840000000000007,-0.2050333086602517,0.7703626943005181,0.9511232859963112
0,LFR,1.0,1.0,0.0,1.0,3.2829832186009362
0,MetricOptGenerator,0.751,0.7110000000000016,-0.03125,0.96,0.09634163941098728
0,Reweighing,0.6949999999999998,0.6710000000000009,0.0,1.0,0.020980093870158534
0,Dataset (Original),0.68875,0.6800000000000006,-0.28874458874458875,0.7012987012987013,1.8962765683503369
0,OriginalData,0.68875,0.6800000000000006,-0.28874458874458875,0.7012987012987013,1.8962765683503369
0,DisparateImpactRemover,0.68875,0.6875000000000009,-0.28874458874458875,0.7012987012987013,1.8962765683503369
0,LFR,1.0,1.0,0.0,1.0,3.2137011690781874
0,MetricOptGenerator,0.743,0.7104000000000019,-0.08867505551443378,0.8929783812756834,0.36599591688179434
0,Reweighing,0.6887499999999999,0.6800000000000006,1.1102230246251565e-16,1.0000000000000002,0.01858700526388568
0,Dataset (Original),0.69625,0.6800000000000004,-0.22199834064240842,0.7558018252933507,1.1125279125189371
0,OriginalData,0.69625,0.6800000000000004,-0.22199834064240842,0.7558018252933507,1.1125279125189371
0,DisparateImpactRemover,0.69625,0.6830000000000007,-0.22199834064240842,0.7558018252933507,1.1125279125189371
0,LFR,1.0,1.0,0.0,1.0,3.117429208531564
0,MetricOptGenerator,0.751,0.7184000000000015,-0.06210883780977239,0.923399100034614,0.24259355495111357
0,Reweighing,0.69625,0.6800000000000004,-2.220446049250313e-16,0.9999999999999997,0.017983457327517938
0,Dataset (Original),0.71125,0.684500000000001,-0.20941483643065584,0.7703192116567,1.091634501961049
0,OriginalData,0.71125,0.684500000000001,-0.20941483643065584,0.7703192116567,1.091634501961049
0,DisparateImpactRemover,0.71125,0.7020000000000006,-0.20941483643065584,0.7703192116567,1.091634501961049
0,LFR,1.0,1.0,0.0,1.0,3.0871387398777763
0,MetricOptGenerator,0.764,0.7222000000000017,-0.07667480564676821,0.9084849093893411,0.33494355065095216
0,Reweighing,0.7112499999999999,0.684500000000001,-2.220446049250313e-16,0.9999999999999997,0.019734044514168048
0,Dataset (Original),0.70375,0.6940000000000007,-0.19160557711657322,0.7844437257438551,0.8853252559764426
0,OriginalData,0.70375,0.6940000000000007,-0.19160557711657322,0.7844437257438551,0.8853252559764426
0,DisparateImpactRemover,0.70375,0.7075000000000006,-0.19160557711657322,0.7844437257438551,0.8853252559764426
0,LFR,1.0,1.0,0.0,1.0,3.319367363414581
0,MetricOptGenerator,0.75,0.7244000000000013,0.0,1.0,0.0288215035430186
0,Reweighing,0.7037500000000001,0.6940000000000007,0.0,1.0,0.02337798116419454
0,Dataset (Original),0.6975,0.6790000000000007,-0.24757749905616844,0.7353481906640958,1.3857747456236578
0,OriginalData,0.6975,0.6790000000000007,-0.24757749905616844,0.7353481906640958,1.3857747456236578
0,DisparateImpactRemover,0.6975,0.6882500000000005,-0.24757749905616844,0.7353481906640958,1.3857747456236578
0,LFR,1.0,1.0,0.0,1.0,3.1806546120479604
0,MetricOptGenerator,0.749,0.7088000000000019,-0.08245743893412294,0.9004824012864033,0.3418498745765757
0,Reweighing,0.6975,0.6790000000000007,1.1102230246251565e-16,1.0000000000000002,0.019349988871422363
0,Dataset (Original),0.6875,0.6747500000000008,-0.20842317090700013,0.7655239327296248,0.9392802500988537
0,OriginalData,0.6875,0.6747500000000008,-0.20842317090700013,0.7655239327296248,0.9392802500988537
0,DisparateImpactRemover,0.6875,0.6835000000000004,-0.20842317090700013,0.7655239327296248,0.9392802500988537
0,LFR,1.0,1.0,0.0,1.0,3.319367363414581
0,MetricOptGenerator,0.744,0.7076000000000024,-0.057731958762886615,0.9278350515463918,0.20731747981714932
0,Reweighing,0.6875,0.6747500000000008,0.0,1.0,0.020427314159678467
