,Name,Base Rate,Consistency,Statistical Parity Difference,Disparate Impact,Smoothed Empirical Differential Fairness
0,Dataset (Original),0.5428397812436703,0.579339679967588,-0.0899960124528536,0.8505709773431331,0.20383303215262671
0,OriginalData,0.5428397812436703,0.579339679967588,-0.0899960124528536,0.8505709773431331,0.20383303215262671
0,MetricOptGenerator,0.4662129314535732,0.5850267379679135,0.0001148420969018793,1.000246370652328,0.00022756236765375526
0,Dataset (Original),0.5432448855580312,0.5913712781041076,-0.09667136025167755,0.8405901388328172,0.2194884026702667
0,OriginalData,0.5432448855580312,0.5913712781041076,-0.09667136025167755,0.8405901388328172,0.2194884026702667
0,MetricOptGenerator,0.4717225733268514,0.5811051693404633,-1.7291881111325402e-05,0.9999633439982484,5.03655181681717e-05
0,Dataset (Original),0.5450678549726554,0.5982985618796794,-0.090072781009495,0.8509352705287634,0.20491602233719164
0,OriginalData,0.5450678549726554,0.5982985618796794,-0.090072781009495,0.8509352705287634,0.20491602233719164
0,MetricOptGenerator,0.4642683519688867,0.5989304812834217,0.00013106884984948053,1.0002823660845594,0.0002630741242164447
0,Dataset (Original),0.540611707514685,0.5700222807372809,-0.0863111643873572,0.8555207565408858,0.19409890386606876
0,OriginalData,0.540611707514685,0.5700222807372809,-0.0863111643873572,0.8555207565408858,0.19409890386606876
0,MetricOptGenerator,0.46929184897099335,0.5790957705396151,-3.8475432367679474e-05,0.9999180183517438,9.823174646816923e-05
0,Dataset (Original),0.5483086894875431,0.5997569374113811,-0.09787748118730633,0.8403403428827549,0.22532649986141517
0,OriginalData,0.5483086894875431,0.5997569374113811,-0.09787748118730633,0.8403403428827549,0.22532649986141517
0,MetricOptGenerator,0.4663749797439637,0.5896613190730825,0.00010294138973726552,1.000220759330523,0.00020261118899500552
0,Dataset (Original),0.5410168118290459,0.5815272432651375,-0.10910718571426459,0.8221638784027341,0.24849237035314375
0,OriginalData,0.5410168118290459,0.5815272432651375,-0.10910718571426459,0.8221638784027341,0.24849237035314375
0,MetricOptGenerator,0.4709123318748987,0.5772160103710885,-3.1035932027967394e-05,0.999934096936866,8.106271336427717e-05
0,Dataset (Original),0.5436499898723921,0.5991492809398352,-0.10072773699329718,0.8348613291470434,0.22955967938695954
0,OriginalData,0.5436499898723921,0.5991492809398352,-0.10072773699329718,0.8348613291470434,0.22955967938695954
0,MetricOptGenerator,0.4699400421325555,0.5757575757575719,-7.558133365093145e-05,0.9998391853395233,0.00017612573693182032
0,Dataset (Original),0.5507393153737087,0.5897508608466611,-0.10249308545443547,0.8343044988297122,0.23781883832862238
0,OriginalData,0.5507393153737087,0.5897508608466611,-0.10249308545443547,0.8343044988297122,0.23781883832862238
0,MetricOptGenerator,0.45940690325717065,0.5771187813968544,0.00017786729655910882,1.0003872673304064,0.00036540297152642953
0,Dataset (Original),0.5464857200729187,0.5867935993518294,-0.10551566876846352,0.8286636165487137,0.2425121164568962
0,OriginalData,0.5464857200729187,0.5867935993518294,-0.10551566876846352,0.8286636165487137,0.2425121164568962
0,MetricOptGenerator,0.4704261870037271,0.5910549343704377,-0.00011538002810601578,0.9997547729721241,0.00026021821302579795
0,Dataset (Original),0.545270407129836,0.5910877050840541,-0.09435247960279902,0.8445691036494953,0.21504520880178746
0,OriginalData,0.545270407129836,0.5910877050840541,-0.09435247960279902,0.8445691036494953,0.21504520880178746
0,MetricOptGenerator,0.4717225733268514,0.5847998703613679,-8.651991476554821e-05,0.9998166096285184,0.00019760750364405943
