,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Diff,Average Odds Error,Consistency,Consistency Obj,Model,Preprocessor,ModelPreprocessor
0,0.6080971659919029,0.564638783269962,0.5380434782608695,0.5510204081632654,0.6013789865682093,0.6215319774227088,0.006310173731499891,0.009514839787335558,0.21987912036661864,0.11174464905245203,0.11624215834769641,1.3323433520544878,0.33234335205448784,0.16502803282684647,0.041978647941819214,-0.10350334038433284,0.10350334038433284,0.9823481781376519,0.01765182186234815,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.594331983805668,0.5457809694793537,0.5507246376811594,0.5482416591523896,0.5901500201582957,0.6260927918178538,0.0115535515022617,0.017339899475576657,0.5391382307976078,0.1510744196257232,0.15814458236854168,1.455199946547289,0.4551999465472889,0.24545380677663114,0.06352774692795471,-0.15449077685229293,0.15449077685229293,0.9799190283400809,0.020080971659919067,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6696356275303643,0.6469387755102041,0.5742753623188406,0.6084452975047985,0.6604905362106648,0.717265314999894,0.009890367865323796,0.015031708299656105,0.6346597990974439,0.13934501647144132,0.1434130120649733,1.4735964584471213,0.4735964584471213,0.17952384821646217,0.052869630638053944,-0.11619673942725806,0.11619673942725806,0.9959514170040485,0.004048582995951455,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.648582995951417,0.642512077294686,0.48188405797101447,0.5507246376811594,0.6325964945784794,0.7016267214123538,6.635015881212292e-05,0.00010350448073488119,0.6836084645763201,0.011529388441739369,0.011449827933401824,0.9665915979477454,0.03340840205225459,0.011733159990249431,0.0689821946763157,0.04035767733328256,0.04035767733328256,0.9922267206477733,0.007773279352226714,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6566801619433198,0.6338912133891214,0.5489130434782609,0.5883495145631068,0.6463452479470367,0.7064222738557516,0.01149593595920298,0.017528766584515087,0.6036165519688783,0.14996524689727528,0.15366446723190397,1.5365660904982876,0.5365660904982876,0.21602340131632403,0.05160677820370435,-0.1338150897600142,0.1338150897600142,0.977165991902834,0.02283400809716596,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.6582995951417004,0.6419213973799127,0.532608695652174,0.5821782178217821,0.6462457826723534,0.7081609268572155,0.00361979619254324,0.005553265308296691,0.6390748601250548,0.08457332788487859,0.08594044696692726,1.27321365976053,0.2732136597605299,0.10364833021857484,0.012673306344713947,-0.05816081828164439,0.05816081828164439,0.9813765182186235,0.018623481781376516,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.605668016194332,0.578088578088578,0.44765342960288806,0.5045778229908443,0.590933910102472,0.6119080562137863,0.0047800268980311145,0.007519775176043516,0.6599667387128174,0.09681062677815887,0.09896163865266872,1.353562945368171,0.353562945368171,0.08905460270113513,0.07569306373560417,-0.08237383321836965,0.08237383321836965,0.9862348178137652,0.013765182186234792,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.5838056680161944,0.5383141762452107,0.5072202166064982,0.5223048327137546,0.5766644401681537,0.6130796185265881,0.018629603053029464,0.028514860784106217,0.5188734801930386,0.1904202491218683,0.20194858962968337,1.7086231761112998,0.7086231761112998,0.16135553898417432,0.20660614472746372,-0.18398084185581903,0.18398084185581903,0.9852631578947368,0.01473684210526316,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6639676113360324,0.6514161220043573,0.5397111913357401,0.5903257650542942,0.6523812931715411,0.7137584355137114,0.024500114146201263,0.038122012273786525,0.5985452368939826,0.2160626709445473,0.22416335756982342,2.0243744130807046,1.0243744130807046,0.29760543541304174,0.12343849645496491,-0.21052196593400332,0.21052196593400332,0.9965991902834008,0.0034008097165991735,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6623481781376518,0.6691358024691358,0.4891696750902527,0.5651720542231491,0.6462001092044509,0.7128916914497155,0.00042807853999693446,0.000680447693639069,0.6682183856862537,0.02917386450149039,0.029404120807721867,1.0955026403093777,0.09550264030937772,0.09076145496727156,0.063791874554526,-0.013484790206372776,0.07727666476089878,0.9936842105263158,0.0063157894736841635,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6704453441295547,0.6705336426914154,0.5216606498194946,0.5868020304568529,0.6565718814442554,0.7082544781776641,0.028215978757803906,0.04435298749299069,0.5847816455540379,0.23032264824284374,0.23569533341794954,2.251733324773705,1.251733324773705,0.32799734857900403,0.12056870615598156,-0.22428302736749278,0.22428302736749278,0.9826720647773279,0.017327935222672064,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.668825910931174,0.6738609112709832,0.5072202166064982,0.5787847579814624,0.6537569511813695,0.7070166510281652,0.014720610377684018,0.023273967305850442,0.6078372411921296,0.16798063727720533,0.1705499446972856,1.7704152674256695,0.7704152674256695,0.22561935537327032,0.08129196833852273,-0.15345566185589654,0.15345566185589654,0.9849392712550608,0.015060728744939245,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
