,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Diff,Average Odds Error,Consistency,Consistency Obj,Model,Preprocessor,ModelPreprocessor
2,0.6574898785425102,0.6372549019607843,0.5772646536412078,0.6057781919850885,0.6509835172967944,0.7185848029264993,0.017119615305777686,0.026067353952085884,0.5744142199845552,0.18268089760378634,0.19099778270509982,1.6693084693084694,0.6693084693084694,0.22299590216416953,0.10712279519155152,-0.16505934867786054,0.16505934867786054,0.9964372469635627,0.0035627530364372717,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6647773279352227,0.6666666666666666,0.5293072824156305,0.5900990099009901,0.65379054596972,0.7205275205108685,0.030751198187790263,0.047672478399655265,0.5934831231040552,0.24114052989821877,0.24607538802660756,2.245566778900112,1.2455667789001121,0.26544692022025873,0.1711605437591282,-0.21830373198969347,0.21830373198969347,0.997085020242915,0.00291497975708499,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6647773279352227,0.6595289079229122,0.5470692717584369,0.5980582524271845,0.6552310644506469,0.7049752072232089,0.02444190675190211,0.037640003121499156,0.5860533999814895,0.21642039242066655,0.2228529194382853,1.9720180528691167,0.9720180528691167,0.2897778204635677,0.11352657004830921,-0.20165219525593847,0.20165219525593847,0.9736032388663968,0.02639676113360323,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.6728744939271255,0.6802721088435374,0.5328596802841918,0.5976095617529881,0.6615191258563816,0.7164319546646367,0.03396370430994164,0.05276746378167765,0.5936174361350427,0.25265106761604883,0.25705838876570586,2.3867623604465713,1.3867623604465713,0.3063612498399283,0.15812830019098975,-0.23224477501545904,0.23224477501545904,0.9761943319838057,0.023805668016194326,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.6283400809716599,0.5907079646017699,0.49353049907578556,0.5377643504531721,0.6134799469442328,0.6316166561016795,0.0021963589736551103,0.003393098486823671,0.6574955199946659,0.06594794733132195,0.06729450946471549,1.2094731347247536,0.2094731347247536,0.09626178121359741,0.002979509339280706,-0.04664113593715835,0.04962064527643906,0.9781376518218623,0.021862348178137703,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6283400809716599,0.582995951417004,0.532347504621072,0.5565217391304348,0.6177587667197579,0.6542439286836736,0.03479613324562,0.05309033548911536,0.5470813911754336,0.25769170818231174,0.26742455000676685,2.203410475030451,1.2034104750304508,0.3207667054961347,0.1858447170337329,-0.2533057112649338,0.2533057112649338,0.9778137651821862,0.022186234817813788,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6680161943319838,0.6297029702970297,0.5878003696857671,0.6080305927342257,0.6591739600590218,0.7224054078528929,0.017077099962878317,0.02598712379360078,0.5503139737889855,0.18242550056516837,0.18998570142456178,1.6722570973484494,0.6722570973484494,0.27182392601221367,0.06826735433509898,-0.1700456401736563,0.1700456401736563,0.9978947368421053,0.002105263157894721,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6647773279352227,0.6331236897274634,0.5582255083179297,0.5933202357563849,0.6530320625163135,0.7264724839793957,0.023933376165573922,0.036683726443218136,0.5554810597725041,0.21454943251128766,0.22128369432823175,1.9253681762816963,0.9253681762816963,0.3176603480532316,0.09424658488988011,-0.20595346647155588,0.20595346647155588,0.9983805668016195,0.0016194331983805377,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.668825910931174,0.65,0.5286506469500925,0.5830784913353722,0.653374314829513,0.7102521214316534,0.025496981525883172,0.03955900780595948,0.601981465124288,0.22026532107166727,0.22345201739365803,2.075687618615982,1.0756876186159818,0.29665713579723957,0.1109910788960134,-0.20382410734662648,0.20382410734662648,0.9776518218623482,0.022348178137651775,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.6761133603238867,0.6658823529411765,0.5231053604436229,0.5859213250517599,0.6592472047174887,0.7128702850415765,0.03670810689153042,0.057286938783875876,0.5895289888551601,0.2616461277375273,0.26331738718541664,2.5573342613537497,1.5573342613537497,0.3368809347311941,0.14906258712015613,-0.24297176092567513,0.24297176092567513,0.9786234817813765,0.02137651821862352,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
