,Name,Base Rate,Consistency,Statistical Parity Difference,Disparate Impact,Smoothed Empirical Differential Fairness
0,Dataset (Original),0.5428397812436703,0.579339679967588,-0.0899960124528536,0.8505709773431331,0.2038330321526265
0,OriginalData,0.5428397812436703,0.579339679967588,-0.0899960124528536,0.8505709773431331,0.2038330321526265
0,DisparateImpactRemover,0.5428397812436703,0.5828640875025274,-0.0899960124528536,0.8505709773431331,0.2038330321526265
0,LFR,0.5106339882519749,1.0,-0.03130590339892669,0.941077441077441,0.06461798396887364
0,MetricOptimizer,0.4701593302727518,0.6044828517418264,0.00020630627246204236,1.0004389222095305,0.0004193461288147793
0,Reweighing,0.5428397812436703,0.579339679967588,-1.1102230246251565e-16,0.9999999999999998,2.710807047145991e-05
0,Dataset (Original),0.5432448855580312,0.5913712781041076,-0.09667136025167755,0.8405901388328172,0.2194884026702667
0,OriginalData,0.5432448855580312,0.5913712781041076,-0.09667136025167755,0.8405901388328172,0.2194884026702667
0,DisparateImpactRemover,0.5432448855580312,0.5918574032813411,-0.09667136025167755,0.8405901388328172,0.2194884026702667
0,LFR,1.0,1.0,0.0,1.0,0.6347847554973267
0,MetricOptimizer,0.4723197407507426,0.5983796921415028,-0.0002007867074179659,0.9995750066737235,0.00044281934341505735
0,Reweighing,0.5432448855580313,0.5913712781041076,4.440892098500626e-16,1.0000000000000009,2.6003690830611603e-05
0,Dataset (Original),0.5450678549726554,0.5982985618796794,-0.090072781009495,0.8509352705287634,0.20491602233719153
0,OriginalData,0.5450678549726554,0.5982985618796794,-0.090072781009495,0.8509352705287634,0.20491602233719153
0,DisparateImpactRemover,0.5450678549726554,0.5850921612315113,-0.090072781009495,0.8509352705287634,0.20491602233719153
0,LFR,0.5398014988859632,1.0,-0.05493899228199384,0.904603370324702,0.12172077005353821
0,MetricOptimizer,0.46907912503375643,0.5931406967323748,0.00023710887940037173,1.0005056374254084,0.00048599852503106167
0,Reweighing,0.5450678549726554,0.5982985618796794,-2.220446049250313e-16,0.9999999999999996,2.7950181125446782e-05
0,Dataset (Original),0.540611707514685,0.5700222807372809,-0.0863111643873572,0.8555207565408858,0.19409890386606876
0,OriginalData,0.540611707514685,0.5700222807372809,-0.0863111643873572,0.8555207565408858,0.19409890386606876
0,DisparateImpactRemover,0.540611707514685,0.596556613327923,-0.0863111643873572,0.8555207565408858,0.19409890386606876
0,LFR,1.0,1.0,0.0,1.0,0.6536187277519581
0,MetricOptimizer,0.4739400486092358,0.5779638131244884,3.76475076409033e-05,1.0000794391595338,6.24812494469662e-05
0,Reweighing,0.540611707514685,0.5700222807372809,-2.220446049250313e-16,0.9999999999999996,2.5099424218688604e-05
0,Dataset (Original),0.5483086894875431,0.5997569374113811,-0.09787748118730633,0.8403403428827549,0.22532649986141517
0,OriginalData,0.5483086894875431,0.5997569374113811,-0.09787748118730633,0.8403403428827549,0.22532649986141517
0,DisparateImpactRemover,0.5483086894875431,0.5821754101681146,-0.09787748118730633,0.8403403428827549,0.22532649986141517
0,LFR,0.9874417662548106,1.0,0.014472218762135669,1.0147997246301472,1.0546100533555722
0,MetricOptimizer,0.46907912503375643,0.5861193626789065,0.00018587936429254048,1.0003963647688343,0.0003746035027331063
0,Reweighing,0.5483086894875431,0.5997569374113811,1.1102230246251565e-16,1.0000000000000002,3.11792872262906e-05
