,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Abs Diff,Average Odds Error,Preprocessor,Model
0,0.6696356275303643,0.6469387755102041,0.5742753623188406,0.6084452975047985,0.6604905362106648,0.717265314999894,0.009890367865323296,0.015031708299655354,0.6348319931429102,0.1393450164714405,0.1434130120649733,1.4735964584471213,0.4735964584471213,0.17952384821646217,0.052869630638053944,0.11619673942725806,0.11619673942725806,OriginalData,"('LogisticRegression', 'OriginalData')"
1,0.6736842105263158,0.6463654223968566,0.5960144927536232,0.6201696512723845,0.6662356504763723,0.7199495512126808,0.012680420643429557,0.019185325740468988,0.6170100742150962,0.15771706714962447,0.16331528520111188,1.5351716268897975,0.5351716268897975,0.20078004387746812,0.06985992190018986,0.135319982888829,0.135319982888829,DisparateImpactRemover,"('LogisticRegression', 'DisparateImpactRemover')"
2,0.6234817813765182,0.5522208883553421,0.8333333333333334,0.664259927797834,0.6436066373840899,0.69425568145649,0.00021285311793486916,0.00033383284552853423,0.46024696530654874,0.02059668306710642,0.020302697934620584,0.9704814016377189,0.0295185983622811,0.03438693426505235,0.07341561279690467,0.05390127353097851,0.05390127353097851,LFR,"('LogisticRegression', 'LFR')"
3,0.6550607287449393,0.6275303643724697,0.5615942028985508,0.592734225621415,0.6460972478621597,0.7078784454771152,0.001864234371497464,0.0028304533503515647,0.6819391445375944,0.06119669759414659,0.06306980738986867,0.8570865002761486,0.14291349972385137,0.04442999918745427,0.1406513094257156,0.09254065430658494,0.09254065430658494,MetricOptimizer,"('LogisticRegression', 'MetricOptimizer')"
4,0.6696356275303643,0.6469387755102041,0.5742753623188406,0.6084452975047985,0.6604905362106648,0.717265314999894,0.009890367865323296,0.015031708299655354,0.6347274412190926,0.1393450164714405,0.1434130120649733,1.4735964584471213,0.4735964584471213,0.17952384821646217,0.052869630638053944,0.11619673942725806,0.11619673942725806,Reweighing,"('LogisticRegression', 'Reweighing')"
5,0.6566801619433198,0.6338912133891214,0.5489130434782609,0.5883495145631068,0.6463452479470367,0.7064222738557516,0.01149593595920348,0.017528766584515843,0.6033638534169157,0.14996524689727544,0.15366446723190397,1.5365660904982876,0.5365660904982876,0.21602340131632403,0.05160677820370435,0.1338150897600142,0.1338150897600142,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
6,0.654251012145749,0.6272912423625254,0.5579710144927537,0.5906040268456376,0.6450177180809302,0.7049647760307255,0.013318512239705899,0.020236719472938397,0.5953375593146873,0.16138109356010014,0.16615017670920457,1.5754469534806597,0.5754469534806597,0.21067685057284474,0.07714147529824811,0.14390916293554643,0.14390916293554643,DisparateImpactRemover,"('DecisionTreeClassifier', 'DisparateImpactRemover')"
7,0.5157894736842106,0.4774509803921569,0.8822463768115942,0.6195928753180662,0.5509328516561631,0.5509328516561631,0.0008614660584949363,0.0015570044711076111,0.557077081308401,0.0411581818884075,0.03283193184653865,0.9612565014774918,0.038743498522508246,0.02019988624360114,0.06433382294987999,0.042266854596740566,0.042266854596740566,LFR,"('DecisionTreeClassifier', 'LFR')"
8,0.6445344129554655,0.6097087378640776,0.5688405797101449,0.5885660731021556,0.637275341099582,0.7000087529441722,0.00034941043369374203,0.000527984196105534,0.6297116227708196,0.026407243568724762,0.027391377519339344,1.068639569548462,0.06863956954846206,0.08226212724465753,0.06880306667144342,0.006729530286607055,0.07553259695805048,MetricOptimizer,"('DecisionTreeClassifier', 'MetricOptimizer')"
9,0.6566801619433198,0.6338912133891214,0.5489130434782609,0.5883495145631068,0.6463452479470367,0.7068904237485943,0.01149593595920348,0.017528766584515843,0.6039536313558393,0.14996524689727544,0.15366446723190397,1.5365660904982876,0.5365660904982876,0.21602340131632403,0.05160677820370435,0.1338150897600142,0.1338150897600142,Reweighing,"('DecisionTreeClassifier', 'Reweighing')"
